	mass_A
t	x
2.466500E1	-1.567652E-1
2.467000E1	-1.553066E-1
2.467333E1	-1.539193E-1
2.467833E1	-1.493618E-1
2.469000E1	-1.482265E-1
2.469500E1	-1.465493E-1
2.469833E1	-1.451693E-1
2.470333E1	-1.420259E-1
2.471167E1	-1.406231E-1
2.471500E1	-1.389494E-1
2.472000E1	-1.377793E-1
2.472333E1	-1.362717E-1
2.472833E1	-1.347563E-1
2.473167E1	-1.332507E-1
2.473667E1	-1.316188E-1
2.474000E1	-1.302318E-1
2.474500E1	-1.254677E-1
2.475667E1	-1.243762E-1
2.476167E1	-1.226595E-1
2.476500E1	-1.209980E-1
2.477000E1	-1.182303E-1
2.477833E1	-1.165640E-1
2.478167E1	-1.150912E-1
2.478667E1	-1.137586E-1
2.479000E1	-1.119234E-1
2.479500E1	-1.106294E-1
2.479833E1	-1.089373E-1
2.480333E1	-1.072113E-1
2.480667E1	-1.052340E-1
2.481167E1	-1.037035E-1
2.481500E1	-1.020625E-1
2.482000E1	-1.005773E-1
2.482333E1	-9.907713E-2
2.482833E1	-9.758521E-2
2.483167E1	-9.587130E-2
2.483667E1	-9.433328E-2
2.484000E1	-9.277647E-2
2.484500E1	-9.105599E-2
2.484833E1	-8.937765E-2
2.485333E1	-8.781670E-2
2.485667E1	-8.629117E-2
2.486167E1	-8.457401E-2
2.486500E1	-8.112045E-2
2.487333E1	-7.950113E-2
2.487833E1	-7.609292E-2
2.488667E1	-7.441059E-2
2.489000E1	-7.283913E-2
2.489500E1	-7.132017E-2
2.489833E1	-6.972204E-2
2.490333E1	-6.825977E-2
2.490667E1	-6.679482E-2
2.491167E1	-6.514639E-2
2.491500E1	-6.336401E-2
2.492000E1	-6.181689E-2
2.492333E1	-5.987314E-2
2.492833E1	-5.662868E-2
2.493667E1	-5.357109E-2
2.494500E1	-5.188935E-2
2.494833E1	-4.845392E-2
2.495667E1	-4.677778E-2
2.496167E1	-4.528515E-2
2.496500E1	-4.345902E-2
2.497000E1	-4.171125E-2
2.497333E1	-4.024926E-2
2.497833E1	-3.862567E-2
2.498167E1	-3.685961E-2
2.498667E1	-3.518961E-2
2.499000E1	-3.372816E-2
2.499500E1	-3.210674E-2
2.499833E1	-3.069190E-2
2.500333E1	-2.749572E-2
