	mass_A
t	x
2.411500E1	-9.074061E-3
2.411833E1	-1.202885E-2
2.412333E1	-6.040531E-3
2.412667E1	-7.584676E-3
2.413167E1	-7.585418E-3
2.413500E1	-9.504571E-3
2.414000E1	-9.882249E-3
2.414333E1	-9.886839E-3
2.414833E1	-7.209031E-3
2.415167E1	-6.815816E-3
2.415667E1	-6.432701E-3
2.416000E1	-6.415027E-3
2.416500E1	-7.573068E-3
2.417333E1	-6.047846E-3
2.418167E1	-6.024373E-3
2.418500E1	-6.048431E-3
2.419000E1	-7.192344E-3
2.419333E1	-6.809645E-3
2.419833E1	-6.428767E-3
2.420167E1	-4.123934E-3
2.420667E1	-3.758244E-3
2.421000E1	-7.575837E-3
2.421500E1	-8.854868E-3
2.421833E1	-8.838331E-3
2.422333E1	-3.345321E-3
2.422667E1	-2.966360E-3
2.423500E1	-1.418361E-3
2.424000E1	-3.345908E-3
2.424833E1	-4.110637E-3
2.425167E1	-2.197762E-3
2.425667E1	1.149269E-4
2.426000E1	1.215908E-4
2.426500E1	-2.648460E-4
2.426833E1	2.419710E-3
2.427333E1	2.811156E-3
2.427667E1	2.423394E-3
2.428167E1	2.814994E-3
2.428500E1	3.193832E-3
2.429000E1	3.194983E-3
2.429333E1	7.041464E-3
2.430667E1	4.731769E-3
2.431000E1	6.657794E-3
2.431500E1	7.434872E-3
2.431833E1	7.045482E-3
2.432667E1	1.050569E-2
2.433167E1	1.088756E-2
2.433500E1	1.243317E-2
2.434000E1	1.050564E-2
2.434333E1	1.282633E-2
2.434833E1	1.435851E-2
2.435167E1	1.475395E-2
2.435667E1	1.512840E-2
2.436000E1	1.475209E-2
2.436500E1	1.589939E-2
2.436833E1	1.820465E-2
2.437667E1	1.820599E-2
2.438167E1	1.974459E-2
2.438500E1	2.279530E-2
2.439000E1	2.244116E-2
2.439333E1	2.204813E-2
2.439833E1	2.320875E-2
2.440167E1	2.282579E-2
2.440667E1	2.320141E-2
2.441000E1	2.820758E-2
2.441500E1	2.628650E-2
2.441833E1	2.744664E-2
2.442333E1	2.821793E-2
2.443167E1	3.167499E-2
