"t(s)","a(m/s²)"
6.081449458E0,9.770931244E0
6.091437458E0,9.765841827E0
6.101425458E0,9.772877197E0
6.111413458E0,9.765692139E0
6.121400458E0,9.786199493E0
6.131388458E0,9.793683929E0
6.141375458E0,9.784403229E0
6.151362458E0,9.771979065E0
6.161350458E0,9.770482178E0
6.171338458E0,9.759105835E0
6.181325458E0,9.761351166E0
6.191312458E0,9.769434357E0
6.201299458E0,9.763297119E0
6.211285458E0,9.761949921E0
6.221273458E0,9.761500854E0
6.231260458E0,9.755213928E0
6.241248458E0,9.764644318E0
6.251235458E0,9.759854279E0
6.261222458E0,9.771679688E0
6.271209458E0,9.755213928E0
6.281197458E0,9.757309570E0
6.291184458E0,9.774224396E0
6.301172458E0,9.762997742E0
6.311160458E0,9.768236847E0
6.321148458E0,9.754016418E0
6.331135458E0,9.768087158E0
6.341122458E0,9.766739960E0
6.351111458E0,9.754764862E0
6.361099458E0,9.772128754E0
6.371086458E0,9.764644318E0
6.381073458E0,9.759854279E0
6.391060458E0,9.769134979E0
6.401047458E0,9.777218170E0
6.411035458E0,9.776918793E0
6.421023458E0,9.767338715E0
6.431011458E0,9.781409454E0
6.440999458E0,9.777816925E0
6.450985458E0,9.766739960E0
6.460972458E0,9.746082916E0
6.470959458E0,9.746831360E0
6.480946458E0,9.758058014E0
6.490935458E0,9.774374084E0
6.500922458E0,9.766889648E0
6.510910458E0,9.768685913E0
6.520896458E0,9.768536224E0
6.530883458E0,9.773475952E0
6.540870458E0,9.750573578E0
6.550857458E0,9.768386536E0
6.560844458E0,9.764794006E0
6.570830458E0,9.774224396E0
6.580817458E0,9.769134979E0
6.590805458E0,9.760902100E0
6.600793458E0,9.752369843E0
6.610780458E0,9.761201477E0
6.620767458E0,9.768685913E0
6.630754458E0,9.765243073E0
6.640741458E0,9.766590271E0
6.650728458E0,9.762249298E0
6.660715458E0,9.760303345E0
6.670701458E0,9.770182800E0
6.680689833E0,9.773925018E0
6.690675833E0,9.774224396E0
6.700662833E0,9.772577820E0
6.710650833E0,9.757608948E0
6.720637833E0,9.754315796E0
6.730625833E0,9.772278442E0
6.740611833E0,9.759854279E0
6.750598833E0,9.746531982E0
6.760586833E0,9.756261749E0
6.770573833E0,9.759255524E0
6.780560833E0,9.781409454E0
6.790548833E0,9.780661011E0
6.800537833E0,9.754465485E0
6.810524833E0,9.760003967E0
6.820510833E0,9.780810699E0
6.830497833E0,9.782457275E0
6.840485833E0,9.775272217E0
6.850472833E0,9.763446808E0
6.860460833E0,9.757908325E0
6.870448833E0,9.757608948E0
6.880435833E0,9.757309570E0
6.890423833E0,9.764045563E0
6.900410833E0,9.765392761E0
6.910398833E0,9.774972839E0
6.920385833E0,9.772278442E0
6.930373833E0,9.765093384E0
6.940361833E0,9.760303345E0
6.950349833E0,9.763297119E0
6.960335833E0,9.753866730E0
6.970323833E0,9.775571594E0
6.980310833E0,9.780960388E0
6.990298833E0,9.766141205E0
7.000286833E0,9.761500854E0
7.010274833E0,9.762997742E0
7.020262833E0,9.763746185E0
7.030249833E0,9.765392761E0
7.040236833E0,9.774523773E0
7.050222833E0,9.785451050E0
7.060209833E0,9.783505096E0
7.070196833E0,9.768685913E0
7.080183833E0,9.740843811E0
7.090171833E0,9.763446808E0
7.100158833E0,9.762848053E0
7.110146833E0,9.779613190E0
7.120134833E0,9.779313812E0
7.130122833E0,9.786349182E0
7.140110833E0,9.781110077E0
7.150097833E0,9.773326263E0
7.160085833E0,9.759255524E0
7.170072833E0,9.758357391E0
7.180060833E0,9.758956146E0
7.190048833E0,9.757309570E0
7.200036833E0,9.752369843E0
7.210024833E0,9.772278442E0
7.220012833E0,9.765093384E0
7.230000833E0,9.765542450E0
7.239988833E0,9.769584045E0
7.249976833E0,9.753417664E0
7.259964833E0,9.766739960E0
7.269951833E0,9.752818909E0
7.279939833E0,9.761351166E0
7.289927833E0,9.775122528E0
7.299916833E0,9.781409454E0
7.309904833E0,9.783205719E0
7.319894833E0,9.775122528E0
7.329884833E0,9.755962372E0
7.339873833E0,9.756411438E0
7.349862833E0,9.770931244E0
7.359850833E0,9.754315796E0
7.369838833E0,9.751920776E0
7.379827833E0,9.765093384E0
7.389817833E0,9.756112061E0
7.399806833E0,9.768386536E0
7.409794833E0,9.776469727E0
7.419782833E0,9.777816925E0
7.429770833E0,9.782307587E0
7.439759833E0,9.756411438E0
7.449748833E0,9.758058014E0
7.459736833E0,9.765841827E0
7.469725833E0,9.759854279E0
7.479714833E0,9.760752411E0
7.489701833E0,9.756411438E0
7.499688833E0,9.754914551E0
7.509676833E0,9.770781555E0
7.519663833E0,9.788893890E0
7.529651833E0,9.778864746E0
7.539638833E0,9.777068481E0
7.549626833E0,9.761051788E0
7.559614833E0,9.761201477E0
7.569603833E0,9.759704590E0
7.579591833E0,9.758357391E0
7.589580833E0,9.763746185E0
7.599568833E0,9.762698364E0
7.609556833E0,9.764644318E0
7.619544833E0,9.789193268E0
7.629532833E0,9.784253540E0
7.639521833E0,9.771230621E0
7.649510833E0,9.768985291E0
7.659498833E0,9.768685913E0
7.669487833E0,9.775870972E0
7.679475083E0,9.782606964E0
7.689463083E0,9.766739960E0
7.699452083E0,9.754764862E0
7.709440083E0,9.766141205E0
7.719428083E0,9.780511322E0
7.729416083E0,9.772128754E0
7.739403083E0,9.781259766E0
7.749391083E0,9.769883423E0
7.759379083E0,9.762249298E0
7.769367083E0,9.755812683E0
7.779355083E0,9.761500854E0
7.789345083E0,9.758806458E0
7.799334083E0,9.763446808E0
7.809323083E0,9.783056030E0
7.819312083E0,9.764943695E0
7.829301083E0,9.765243073E0
7.839289083E0,9.763895874E0
7.849276083E0,9.760153656E0
7.859264083E0,9.763297119E0
7.869251083E0,9.763147430E0
7.879239083E0,9.763147430E0
7.889228083E0,9.776320038E0
7.899215083E0,9.767638092E0
7.909203083E0,9.767189026E0
7.919191083E0,9.754315796E0
7.929179083E0,9.767787781E0
7.939167083E0,9.753567352E0
7.949155083E0,9.763147430E0
7.959143083E0,9.760003967E0
7.969132083E0,9.762997742E0
7.979119083E0,9.776020660E0
7.989108083E0,9.764644318E0
7.999096083E0,9.760453033E0
8.009084083E0,9.765841827E0
8.019072083E0,9.779164124E0
8.029061083E0,9.767787781E0
8.039049083E0,9.774972839E0
8.049037083E0,9.770931244E0
8.059027083E0,9.764943695E0
8.069017083E0,9.771230621E0
8.079005083E0,9.756710815E0
8.088992083E0,9.769883423E0
8.098980083E0,9.788145447E0
8.108967083E0,9.788594513E0
8.118955083E0,9.767189026E0
8.128941083E0,9.751771088E0
8.138929083E0,9.738149414E0
8.148916083E0,9.751471710E0
8.158904083E0,9.754615173E0
8.168891083E0,9.788444824E0
8.178880083E0,9.789193268E0
8.188868083E0,9.775421906E0
8.198855083E0,9.765692139E0
8.208844083E0,9.757908325E0
8.218831083E0,9.760902100E0
8.228820083E0,9.771230621E0
8.238808083E0,9.774074707E0
8.248796083E0,9.771979065E0
8.258784083E0,9.789342957E0
8.268772083E0,9.762398987E0
8.278759083E0,9.740843811E0
8.288746083E0,9.778565369E0
8.298733083E0,9.769134979E0
8.308720083E0,9.776619415E0
8.318709083E0,9.777367859E0
8.328698083E0,9.761201477E0
8.338685083E0,9.770781555E0
8.348672083E0,9.763446808E0
8.358659083E0,9.759704590E0
8.368645083E0,9.766290894E0
8.378632083E0,9.773775330E0
8.388620083E0,9.766141205E0
8.398608083E0,9.766889648E0
8.408595083E0,9.755962372E0
8.418582083E0,9.752519531E0
8.428569083E0,9.756411438E0
8.438557083E0,9.770931244E0
8.448544083E0,9.767189026E0
8.458531083E0,9.777218170E0
8.468518083E0,9.754764862E0
8.478504083E0,9.757459259E0
8.488490083E0,9.769434357E0
8.498477083E0,9.767189026E0
8.508464083E0,9.783505096E0
8.518452083E0,9.788444824E0
8.528440083E0,9.775272217E0
8.538427083E0,9.770182800E0
8.548414083E0,9.766440582E0
8.558402083E0,9.765093384E0
8.568390083E0,9.756112061E0
8.578378083E0,9.773925018E0
8.588365083E0,9.772577820E0
8.598353083E0,9.768835602E0
8.608340083E0,9.772278442E0
8.618329083E0,9.757608948E0
8.628316083E0,9.770631866E0
8.638304083E0,9.767338715E0
8.648292083E0,9.756710815E0
8.658281083E0,9.750872955E0
8.668270083E0,9.775421906E0
8.678259333E0,9.765243073E0
8.688249333E0,9.762548676E0
8.698239333E0,9.767338715E0
8.708229333E0,9.754764862E0
8.718217333E0,9.760602722E0
8.728205333E0,9.775571594E0
8.738193333E0,9.757010193E0
8.748181333E0,9.764344940E0
8.758170333E0,9.761800232E0
8.768158333E0,9.778565369E0
8.778147333E0,9.761201477E0
8.788136333E0,9.774074707E0
8.798125333E0,9.761800232E0
8.808113333E0,9.761500854E0
8.818101333E0,9.753417664E0
8.828089333E0,9.759105835E0
8.838077333E0,9.764344940E0
8.848066333E0,9.774074707E0
8.858053333E0,9.766290894E0
8.868042333E0,9.769733734E0
8.878030333E0,9.778116302E0
8.888018333E0,9.760303345E0
8.898006333E0,9.752369843E0
8.907995333E0,9.752669220E0
8.917984333E0,9.770631866E0
8.927973333E0,9.767787781E0
8.937961333E0,9.768985291E0
8.947948333E0,9.758656769E0
8.957937333E0,9.760153656E0
8.967925333E0,9.769584045E0
8.977913333E0,9.756112061E0
8.987901333E0,9.773475952E0
8.997889333E0,9.775421906E0
9.007877333E0,9.784552917E0
9.017865333E0,9.773775330E0
9.027853333E0,9.769134979E0
9.037841333E0,9.757459259E0
9.047830333E0,9.753567352E0
9.057817333E0,9.760902100E0
9.067805333E0,9.781409454E0
9.077794333E0,9.774673462E0
9.087782333E0,9.784702606E0
9.097770333E0,9.765093384E0
9.107757333E0,9.761650543E0
9.117745333E0,9.755962372E0
9.127732333E0,9.763596497E0
9.137720333E0,9.766141205E0
9.147709333E0,9.775421906E0
9.157697333E0,9.779463501E0
9.167685333E0,9.792935486E0
9.177673333E0,9.767638092E0
9.187662333E0,9.767488403E0
9.197650333E0,9.760153656E0
9.207638333E0,9.752070465E0
9.217626333E0,9.762997742E0
9.227613333E0,9.764195251E0
9.237601333E0,9.775122528E0
9.247588333E0,9.773625641E0
9.257576333E0,9.762099609E0
9.267564333E0,9.777816925E0
9.277552333E0,9.767338715E0
9.287539333E0,9.775122528E0
9.297527333E0,9.773326263E0
9.307516333E0,9.758207703E0
9.317504333E0,9.762249298E0
9.327492333E0,9.760003967E0
9.337480333E0,9.766590271E0
9.347470333E0,9.756561127E0
9.357460333E0,9.766290894E0
9.367450333E0,9.762848053E0
9.377439333E0,9.758357391E0
9.387427333E0,9.753567352E0
9.397414333E0,9.749825134E0
9.407402333E0,9.754465485E0
9.417391333E0,9.768386536E0
9.427380333E0,9.786049805E0
9.437368333E0,9.782307587E0
9.447356333E0,9.777966614E0
9.457344333E0,9.763446808E0
9.467332333E0,9.763147430E0
9.477321333E0,9.750274200E0
9.487309333E0,9.754764862E0
9.497298333E0,9.774673462E0
9.507285333E0,9.779014435E0
9.517274333E0,9.776020660E0
9.527263333E0,9.770482178E0
9.537250333E0,9.789342957E0
9.547238333E0,9.773326263E0
9.557226333E0,9.784552917E0
9.567214333E0,9.772278442E0
9.577202333E0,9.771230621E0
9.587191333E0,9.769434357E0
9.597180333E0,9.773326263E0
9.607169333E0,9.760003967E0
9.617157333E0,9.753567352E0
9.627147333E0,9.756860504E0
9.637135333E0,9.770931244E0
9.647124333E0,9.766590271E0
9.657111333E0,9.765542450E0
9.667099333E0,9.766290894E0
9.677087333E0,9.761650543E0
9.687075000E0,9.770931244E0
9.697064000E0,9.771979065E0
9.707052000E0,9.761051788E0
9.717041000E0,9.777517548E0
9.727030000E0,9.763446808E0
9.737019000E0,9.766739960E0
9.747008000E0,9.764045563E0
9.756997000E0,9.766590271E0
9.766986000E0,9.779313812E0
9.776976000E0,9.755812683E0
9.786966000E0,9.770482178E0
9.796955000E0,9.773475952E0
9.806945000E0,9.768536224E0
9.816934000E0,9.764644318E0
9.826924000E0,9.756112061E0
9.836914000E0,9.764045563E0
9.846904000E0,9.767039337E0
9.856893000E0,9.770182800E0
9.866882000E0,9.770332489E0
9.876871000E0,9.781708832E0
9.886861000E0,9.769883423E0
9.896850000E0,9.768685913E0
9.906839000E0,9.749675446E0
9.916828000E0,9.758806458E0
9.926816000E0,9.764344940E0
9.936805000E0,9.763147430E0
9.946792000E0,9.768835602E0
9.956780000E0,9.771230621E0
9.966769000E0,9.764494629E0
9.976757000E0,9.751621399E0
9.986747000E0,9.753267975E0
9.996737000E0,9.771230621E0
1.000672700E1,9.770931244E0
1.001671500E1,9.781409454E0
