	mass_A
t	x
5.933333E0	-6.959431E1
5.936667E0	-6.713351E1
5.941667E0	-6.760988E1
5.945000E0	-6.656937E1
5.950000E0	-6.537518E1
5.953333E0	-6.404632E1
5.958333E0	-6.320924E1
5.961667E0	-6.192519E1
5.966667E0	-6.056513E1
5.970000E0	-5.928866E1
5.975000E0	-5.762336E1
5.978333E0	-5.705305E1
5.983333E0	-5.570947E1
5.986667E0	-5.415881E1
5.990000E0	-5.317159E1
5.995000E0	-5.208199E1
5.998333E0	-5.117004E1
6.003333E0	-5.019055E1
6.006667E0	-4.849265E1
6.011667E0	-4.696383E1
6.015000E0	-4.623801E1
6.020000E0	-4.445349E1
6.023333E0	-4.288464E1
6.028333E0	-4.161579E1
6.031667E0	-4.013933E1
6.036667E0	-3.916549E1
6.040000E0	-3.789916E1
6.045000E0	-3.552984E1
6.048333E0	-3.517930E1
6.053333E0	-3.359320E1
6.056667E0	-3.202302E1
6.061667E0	-3.077571E1
6.065000E0	-2.885519E1
6.070000E0	-2.758433E1
6.073333E0	-2.608971E1
6.078333E0	-2.495683E1
6.081667E0	-2.293532E1
6.086667E0	-2.154643E1
6.090000E0	-2.014185E1
6.095000E0	-1.910045E1
6.098333E0	-1.731437E1
6.103333E0	-1.608420E1
6.106667E0	-1.512352E1
6.111667E0	-1.272578E1
6.115000E0	-1.194502E1
6.120000E0	-9.415784E0
6.123333E0	-8.419425E0
6.128333E0	-6.920269E0
6.131667E0	-5.401612E0
6.136667E0	-4.119460E0
6.140000E0	-2.377047E0
6.145000E0	-1.109026E0
6.148333E0	7.116461E-1
6.153333E0	1.996644E0
6.156667E0	3.652687E0
6.161667E0	5.130200E0
6.165000E0	7.120358E0
6.170000E0	8.571870E0
6.173333E0	1.000870E1
6.178333E0	1.154416E1
6.181667E0	1.291073E1
6.186667E0	1.446299E1
6.190000E0	1.590078E1
6.195000E0	1.730073E1
6.198333E0	1.885291E1
6.203333E0	2.049466E1
6.206667E0	2.191660E1
6.211667E0	2.363707E1
6.215000E0	2.490408E1
6.220000E0	2.671123E1
6.223333E0	2.808991E1
6.228333E0	2.980200E1
6.231667E0	3.098689E1
6.236667E0	3.301068E1
6.240000E0	3.424189E1
6.245000E0	3.603580E1
6.248333E0	3.725980E1
6.253333E0	3.899137E1
6.256667E0	4.033143E1
6.261667E0	4.219802E1
6.265000E0	4.364423E1
